[27.12.2009] [11:55.41] - client port is: 39926, client ip is: 202.117.132.36

[27.12.2009] [11:56.51] - client port is: 56373, client ip is: 202.117.132.36

[27.12.2009] [11:56.51] - client port is: 56374, client ip is: 202.117.132.36

[27.12.2009] [11:56.51] - client port is: 56375, client ip is: 202.117.132.36

[27.12.2009] [11:59.07] - client port is: 2103, client ip is: 202.117.137.11

[27.12.2009] [11:59.07] - client port is: 2104, client ip is: 202.117.137.11

[27.12.2009] [12:00.25] - client port is: 1714, client ip is: 202.117.132.62

[27.12.2009] [12:00.31] - client port is: 50992, client ip is: 202.117.132.41

[27.12.2009] [12:00.50] - client port is: 2416, client ip is: 202.117.131.23

[27.12.2009] [12:00.59] - client port is: 2432, client ip is: 202.117.131.23

[27.12.2009] [12:01.27] - client port is: 50993, client ip is: 202.117.132.41

[27.12.2009] [12:02.59] - client port is: 4137, client ip is: 202.117.132.138

[27.12.2009] [12:03.12] - client port is: 4456, client ip is: 202.117.137.56

[27.12.2009] [12:03.15] - client port is: 4746, client ip is: 202.117.137.242

[27.12.2009] [12:04.38] - client port is: 36541, client ip is: 202.117.132.41

[27.12.2009] [12:04.41] - client port is: 36542, client ip is: 202.117.132.41

[27.12.2009] [12:12.19] - client port is: 3589, client ip is: 202.117.129.69

[27.12.2009] [12:13.21] - client port is: 1619, client ip is: 202.117.132.232

[27.12.2009] [12:15.43] - client port is: 1643, client ip is: 202.117.131.82

[27.12.2009] [12:15.43] - client port is: 1645, client ip is: 202.117.131.82

[27.12.2009] [12:17.12] - client port is: 1133, client ip is: 202.117.137.23

[27.12.2009] [12:44.41] - client port is: 2325, client ip is: 202.117.131.101

[27.12.2009] [13:06.42] - client port is: 1264, client ip is: 202.117.129.53

[27.12.2009] [13:23.32] - client port is: 1345, client ip is: 202.117.131.73

[27.12.2009] [13:25.32] - client port is: 1386, client ip is: 202.117.131.73

[27.12.2009] [13:25.32] - client port is: 1387, client ip is: 202.117.131.73

[27.12.2009] [13:25.32] - client port is: 1388, client ip is: 202.117.131.73

[27.12.2009] [13:25.32] - client port is: 1389, client ip is: 202.117.131.73

[27.12.2009] [13:25.32] - client port is: 1390, client ip is: 202.117.131.73

[27.12.2009] [13:51.23] - client port is: 4203, client ip is: 202.117.131.101

[27.12.2009] [13:57.33] - client port is: 3697, client ip is: 202.117.137.82

[27.12.2009] [14:02.35] - client port is: 3644, client ip is: 202.117.129.70

[27.12.2009] [14:03.53] - client port is: 3654, client ip is: 202.117.129.70

[27.12.2009] [15:10.07] - client port is: 1208, client ip is: 222.24.58.77

[27.12.2009] [16:05.22] - client port is: 43751, client ip is: 202.117.132.41

[27.12.2009] [16:06.00] - client port is: 43756, client ip is: 202.117.132.41

[27.12.2009] [16:06.05] - client port is: 43758, client ip is: 202.117.132.41

[27.12.2009] [17:14.28] - client port is: 1853, client ip is: 202.117.131.101

[27.12.2009] [17:14.28] - client port is: 1854, client ip is: 202.117.131.101

[27.12.2009] [17:14.28] - client port is: 1855, client ip is: 202.117.131.101

[27.12.2009] [17:14.28] - client port is: 1856, client ip is: 202.117.131.101

[27.12.2009] [17:14.28] - client port is: 1857, client ip is: 202.117.131.101

[27.12.2009] [17:14.51] - client port is: 1862, client ip is: 202.117.131.101

[27.12.2009] [17:14.59] - client port is: 1865, client ip is: 202.117.131.101

[27.12.2009] [17:14.59] - client port is: 1866, client ip is: 202.117.131.101

[27.12.2009] [18:15.19] - client port is: 2523, client ip is: 202.117.132.232

[27.12.2009] [19:56.16] - client port is: 1121, client ip is: 202.117.131.73

[27.12.2009] [19:56.16] - client port is: 1122, client ip is: 202.117.131.73

[27.12.2009] [19:56.16] - client port is: 1123, client ip is: 202.117.131.73

[27.12.2009] [19:56.16] - client port is: 1124, client ip is: 202.117.131.73

[27.12.2009] [19:56.16] - client port is: 1125, client ip is: 202.117.131.73

[27.12.2009] [20:13.32] - client port is: 45079, client ip is: 202.117.133.92

[27.12.2009] [20:55.35] - client port is: 2535, client ip is: 202.117.132.232

[31.12.2009] [19:46.13] - client port is: 3424, client ip is: 202.117.132.97

[31.12.2009] [19:46.13] - client port is: 3425, client ip is: 202.117.132.97

[31.12.2009] [19:46.13] - client port is: 3426, client ip is: 202.117.132.97

[31.12.2009] [19:46.13] - client port is: 3427, client ip is: 202.117.132.97

[31.12.2009] [19:46.13] - client port is: 3428, client ip is: 202.117.132.97

